Human Prompt,Cypher Query
"Show me the methods for the 'UserService' class.","MATCH (c:Class {name: 'UserService'})-[:HAS_METHOD]->(m:Method) RETURN m.name, m.signature;"
"What are the fields in 'PaymentRequest'?","MATCH (c:Class {name: 'PaymentRequest'})-[:HAS_FIELD]->(f:Field) RETURN f.name;"
"I need to see the methods I must implement for the 'DataExporter' interface.","MATCH (i:Interface {name: 'DataExporter'})-[:HAS_METHOD]->(m:Method) RETURN m.signature;"
"Which methods call the 'calculateTotal' function?","MATCH (source:Method)-[:CALLS]->(target:Method {name: 'calculateTotal'}) RETURN source.name, source.signature;"
"Find all classes within the 'com.example.utils' package.","MATCH (p:Package {name: 'com.example.utils'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"What does the 'processPayment' method call?","MATCH (source:Method {name: 'processPayment'})-[:CALLS]->(target:Method) RETURN target.name, target.signature;"
"Get me the file path for the 'User' class.","MATCH (c:Class {name: 'User'}) RETURN c.file_path;"
"List all interfaces implemented by 'UserDetailsServiceImpl'.","MATCH (c:Class {name: 'UserDetailsServiceImpl'})-[:IMPLEMENTS_INTERFACE]->(i:Interface) RETURN i.name;"
"How many methods are in the 'ProductController' class?","MATCH (c:Class {name: 'ProductController'})-[:HAS_METHOD]->(m:Method) RETURN count(m);"
"Find all methods that have more than 5 parameters.","MATCH (m:Method)-[:HAS_PARAMETER]->(p) WITH m, count(p) AS paramCount WHERE paramCount > 5 RETURN m.name, m.signature, paramCount;"
"Show me all the 'public static' methods in 'StringUtils'.","MATCH (c:Class {name: 'StringUtils'})-[:HAS_METHOD]->(m:Method) WHERE m.signature CONTAINS 'public static' RETURN m.signature;"
"Which classes are in the file 'GlobalExceptionHandler.java'?","MATCH (f:File {path: 'GlobalExceptionHandler.java'})-[:CONTAINS_TYPE]->(c:Class) RETURN c.name;"
"Get the code for the 'authenticateUser' method.","MATCH (m:Method {name: 'authenticateUser'}) RETURN m.code;"
"What are the properties of the 'User' class?","MATCH (n:Class {name: 'User'}) RETURN properties(n);"
"Find any methods that have no incoming calls (unused methods).","MATCH (m:Method) WHERE NOT ()-[:CALLS]->(m) RETURN m.name, m.signature;"
"List all classes that extend 'BaseRepository'.","MATCH (c:Class {extension: 'BaseRepository'}) RETURN c.name;"
"What is the package for the 'Order' class?","MATCH (c:Class {name: 'Order'}) RETURN c.package;"
"Show me all methods created since yesterday.","MATCH (m:Method) WHERE date(m.createdAt) >= date() - duration('P1D') RETURN m.name, m.createdAt;"
"Which methods in 'OrderService' call methods in 'PaymentService'?","MATCH (os:Class {name: 'OrderService'})-[:HAS_METHOD]->(m1:Method)-[:CALLS]->(m2:Method)<-[:HAS_METHOD]-(ps:Class {name: 'PaymentService'}) RETURN m1.signature, m2.signature;"
"Find the class with the most methods.","MATCH (c:Class)-[:HAS_METHOD]->(m:Method) WITH c, count(m) as methodCount RETURN c.name, methodCount ORDER BY methodCount DESC LIMIT 1;"
"What fields does the 'Address' class contain?","MATCH (c:Class {name: 'Address'})-[:HAS_FIELD]->(f:Field) RETURN f.name;"
"List every method that 'NotificationService' calls.","MATCH (:Class {name: 'NotificationService'})-[:HAS_METHOD]->(source:Method)-[:CALLS]->(target:Method) RETURN DISTINCT target.name, target.signature;"
"Who calls 'getUserById'? I'm doing impact analysis.","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'getUserById'}) RETURN caller.signature;"
"Find all classes in the 'com.company.api' package.","MATCH (p:Package {name: 'com.company.api'})-[:CONTAINS]->(t) WHERE t:Class RETURN t.name;"
"Get the signature of the 'save' method in 'UserRepository'.","MATCH (:Class {name: 'UserRepository'})-[:HAS_METHOD]->(m:Method {name: 'save'}) RETURN m.signature;"
